date,lr_forecast,hw_forecast,ensemble_forecast,ci_lo_95,ci_hi_95
2025-01-01,3392938.7108244207,6872972.383127265,5132955.546975843,4675470.258621608,5682794.265229992
2025-02-01,3497240.3879868537,6610237.577208905,5053738.982597879,4596253.694243644,5603577.700852028
2025-03-01,3601542.0651492868,6760676.162604234,5181109.11387676,4723623.825522525,5730947.832130909
2025-04-01,3705843.7423117203,7113124.347187632,5409484.044749676,4951998.7563954415,5959322.763003825
2025-05-01,3810145.4194741533,7761798.686407621,5785972.052940887,5328486.764586653,6335810.771195036
2025-06-01,3914447.096636586,8273628.219402786,6094037.658019686,5636552.369665451,6643876.376273835
